answer_text,question_type,word_count,has_example,has_numbers,uses_first_person,avg_sentence_len,answer_length_cat,quality_label
"To handle ambiguous requirements I schedule a clarification meeting within 24 hours, document assumptions in writing, and confirm them with the stakeholder before starting work.",Behavioral,25.0,0,1.0,1,25.0,short,good
"When I encounter conflict in a team I first try to understand the other perspective. In one case a colleague and I disagreed on architecture. I proposed we prototype both approaches over two days and measure performance, which resolved the disagreement objectively.",Behavioral,42.0,0,0.0,1,14.0,medium,good
I don't know much about that. ,Technical,6.0,0,0.0,1,6.0,short,weak
I worked on several projects. I think.,Technical,7.0,0,0.0,1,3.5,short,weak
"I use Python and SQL daily. For example, I built an ETL pipeline that processed 10 million rows per day using pandas and SQLAlchemy, cutting report generation time from 4 hours to 15 minutes.",Behavioral,34.0,1,1.0,1,17.0,medium,good
"My greatest strength is structured problem-solving. For example I once inherited a codebase with no documentation. I spent the first week mapping dependencies, wrote a diagram, then onboarded two new engineers using it within a month.",Technical,36.0,1,0.0,1,12.0,medium,good
I would ask my manager for help. I think.,Technical,9.0,0,0.0,1,4.5,short,weak
I have done similar things before. Maybe.,Technical,,0,0.0,1,3.5,short,weak
My approach to technical debt is to treat it as a first-class backlog item. I introduced a rule that 20 percent of every sprint is reserved for tech debt. I built a dashboard tracking cyclomatic complexity over time and presented it to leadership as a risk metric. Over 6 months we reduced our critical debt score by 60 percent while maintaining feature velocity.,Technical,63.0,0,1.0,1,15.75,medium,strong
Using the STAR method: in my last role our data pipeline was failing silently every weekend. I designed an alerting system using Airflow sensors and Slack webhooks. I also added a data quality layer using Great Expectations. This caught 98 percent of anomalies before they reached production dashboards and reduced incident response time from 4 hours to 20 minutes.,Behavioral,59.0,0,1.0,1,14.75,medium,strong
"To handle ambiguous requirements I schedule a clarification meeting within 24 hours, document assumptions in writing, and confirm them with the stakeholder before starting work.",Behavioral,25.0,0,1.0,1,25.0,short,good
I would ask my manager for help. Maybe.,Behavioral,8.0,0,0.0,1,4.0,short,weak
"I approached this problem by first conducting a root cause analysis using the 5-Whys technique. I discovered the underlying issue was inconsistent data encoding across three upstream systems. I standardised encoding in a shared utility library, wrote unit tests for edge cases, and documented the decision in our ADR system. The fix eliminated that class of bug entirely for the following 18 months.",Technical,63.0,0,,1,15.75,medium,strong
"I use Python and SQL daily. For example, I built an ETL pipeline that processed 10 million rows per day using pandas and SQLAlchemy, cutting report generation time from 4 hours to 15 minutes.",Technical,34.0,1,1.0,1,17.0,medium,good
"To handle ambiguous requirements I schedule a clarification meeting within 24 hours, document assumptions in writing, and confirm them with the stakeholder before starting work.",Behavioral,,0,1.0,1,25.0,short,good
"I approached this problem by first conducting a root cause analysis using the 5-Whys technique. I discovered the underlying issue was inconsistent data encoding across three upstream systems. I standardised encoding in a shared utility library, wrote unit tests for edge cases, and documented the decision in our ADR system. The fix eliminated that class of bug entirely for the following 18 months.",Technical,63.0,0,1.0,1,15.75,medium,strong
That's a good question. Maybe.,Technical,5.0,0,0.0,0,2.5,short,weak
Using the STAR method: in my last role our data pipeline was failing silently every weekend. I designed an alerting system using Airflow sensors and Slack webhooks. I also added a data quality layer using Great Expectations. This caught 98 percent of anomalies before they reached production dashboards and reduced incident response time from 4 hours to 20 minutes.,Behavioral,59.0,0,1.0,1,14.75,medium,strong
I have seen this kind of problem. I think.,Technical,9.0,0,0.0,1,4.5,short,weak
I managed a team once. ,Technical,5.0,0,0.0,1,5.0,short,weak
I would ask my manager for help. ,Behavioral,7.0,0,0.0,1,7.0,short,weak
"I approached this problem by first conducting a root cause analysis using the 5-Whys technique. I discovered the underlying issue was inconsistent data encoding across three upstream systems. I standardised encoding in a shared utility library, wrote unit tests for edge cases, and documented the decision in our ADR system. The fix eliminated that class of bug entirely for the following 18 months.",Behavioral,63.0,0,1.0,1,15.75,medium,strong
Yes I have experience with that. Maybe.,,7.0,0,0.0,1,3.5,short,weak
"I use Python and SQL daily. For example, I built an ETL pipeline that processed 10 million rows per day using pandas and SQLAlchemy, cutting report generation time from 4 hours to 15 minutes.",Behavioral,34.0,1,1.0,1,17.0,medium,good
"I keep up with industry trends by reading papers on arXiv weekly, following key researchers on Twitter, and implementing one new technique per quarter in a personal project.",Technical,28.0,0,0.0,1,28.0,short,good
I have done similar things before. I think.,Technical,8.0,0,0.0,1,,short,weak
"My greatest strength is structured problem-solving. For example I once inherited a codebase with no documentation. I spent the first week mapping dependencies, wrote a diagram, then onboarded two new engineers using it within a month.",Behavioral,36.0,1,0.0,1,12.0,medium,good
I would try my best. Maybe.,Technical,6.0,0,0.0,1,3.0,short,weak
I can handle pressure fine. Not sure.,Behavioral,7.0,0,0.0,1,3.5,short,weak
My approach to technical debt is to treat it as a first-class backlog item. I introduced a rule that 20 percent of every sprint is reserved for tech debt. I built a dashboard tracking cyclomatic complexity over time and presented it to leadership as a risk metric. Over 6 months we reduced our critical debt score by 60 percent while maintaining feature velocity.,Behavioral,63.0,0,1.0,1,15.75,medium,strong
I have seen this kind of problem. I think.,Technical,9.0,0,0.0,1,4.5,short,weak
Not sure but I would figure it out. Not sure.,Behavioral,10.0,0,0.0,1,5.0,short,weak
"I approached this problem by first conducting a root cause analysis using the 5-Whys technique. I discovered the underlying issue was inconsistent data encoding across three upstream systems. I standardised encoding in a shared utility library, wrote unit tests for edge cases, and documented the decision in our ADR system. The fix eliminated that class of bug entirely for the following 18 months.",Technical,63.0,0,1.0,1,15.75,medium,strong
"I approached this problem by first conducting a root cause analysis using the 5-Whys technique. I discovered the underlying issue was inconsistent data encoding across three upstream systems. I standardised encoding in a shared utility library, wrote unit tests for edge cases, and documented the decision in our ADR system. The fix eliminated that class of bug entirely for the following 18 months.",Technical,63.0,0,1.0,1,15.75,medium,strong
"I approached this problem by first conducting a root cause analysis using the 5-Whys technique. I discovered the underlying issue was inconsistent data encoding across three upstream systems. I standardised encoding in a shared utility library, wrote unit tests for edge cases, and documented the decision in our ADR system. The fix eliminated that class of bug entirely for the following 18 months.",Behavioral,63.0,0,1.0,1,15.75,medium,strong
I think I am good at it. ,Technical,7.0,0,0.0,1,,short,weak
I usually work hard. Not sure.,,6.0,0,0.0,1,3.0,short,weak
Using the STAR method: in my last role our data pipeline was failing silently every weekend. I designed an alerting system using Airflow sensors and Slack webhooks. I also added a data quality layer using Great Expectations. This caught 98 percent of anomalies before they reached production dashboards and reduced incident response time from 4 hours to 20 minutes.,Technical,59.0,0,1.0,1,14.75,medium,strong
"I prioritise tasks using the Eisenhower matrix. Last quarter I managed three parallel projects by breaking each into weekly milestones, communicating progress to stakeholders every Friday, and escalating blockers immediately.",Behavioral,30.0,0,0.0,1,15.0,medium,good
"When I encounter conflict in a team I first try to understand the other perspective. In one case a colleague and I disagreed on architecture. I proposed we prototype both approaches over two days and measure performance, which resolved the disagreement objectively.",Technical,42.0,0,0.0,1,14.0,medium,good
I always do my best work. ,Behavioral,6.0,0,0.0,1,6.0,short,weak
To scale our ML training pipeline I implemented a distributed training strategy using PyTorch DDP across 4 GPUs. I also introduced mixed-precision training and gradient checkpointing which reduced GPU memory by 40 percent and cut training time from 14 hours to 3.5 hours while maintaining model accuracy within 0.2 percent of the baseline.,Behavioral,,0,1.0,1,13.25,medium,strong
That's a good question. I think.,Technical,6.0,0,0.0,1,3.0,short,weak
My approach to technical debt is to treat it as a first-class backlog item. I introduced a rule that 20 percent of every sprint is reserved for tech debt. I built a dashboard tracking cyclomatic complexity over time and presented it to leadership as a risk metric. Over 6 months we reduced our critical debt score by 60 percent while maintaining feature velocity.,Behavioral,63.0,0,1.0,1,15.75,medium,strong
"Situation: Our recommendation system had a latency of 800ms which was causing a 15 percent drop-off. Task: I was asked to reduce it to under 200ms. Action: I profiled the service, identified that 70 percent of latency came from a redundant database call, cached results with Redis, and vectorised the scoring loop using NumPy. Result: Latency dropped to 140ms, drop-off decreased by 12 percent, and we saved roughly 30 percent in compute costs.",Behavioral,73.0,0,1.0,1,18.25,medium,strong
I always do my best work. I think.,Behavioral,8.0,0,0.0,1,4.0,short,weak
Yes I have experience with that. I think.,,8.0,0,0.0,1,4.0,short,weak
I can handle pressure fine. Not sure.,Technical,7.0,0,0.0,1,3.5,short,weak
"To handle ambiguous requirements I schedule a clarification meeting within 24 hours, document assumptions in writing, and confirm them with the stakeholder before starting work.",Behavioral,25.0,0,1.0,1,25.0,short,good
"I approached this problem by first conducting a root cause analysis using the 5-Whys technique. I discovered the underlying issue was inconsistent data encoding across three upstream systems. I standardised encoding in a shared utility library, wrote unit tests for edge cases, and documented the decision in our ADR system. The fix eliminated that class of bug entirely for the following 18 months.",Technical,63.0,0,1.0,1,15.75,medium,strong
I have seen this kind of problem. I think.,,9.0,0,0.0,1,4.5,short,weak
I would ask my manager for help. Maybe.,Technical,8.0,0,0.0,1,4.0,short,weak
I have seen this kind of problem. Not sure.,Behavioral,9.0,0,,1,4.5,short,weak
I would try my best. I think.,Technical,7.0,0,0.0,1,,short,weak
My approach to technical debt is to treat it as a first-class backlog item. I introduced a rule that 20 percent of every sprint is reserved for tech debt. I built a dashboard tracking cyclomatic complexity over time and presented it to leadership as a risk metric. Over 6 months we reduced our critical debt score by 60 percent while maintaining feature velocity.,Behavioral,63.0,0,1.0,1,15.75,medium,strong
My approach to technical debt is to treat it as a first-class backlog item. I introduced a rule that 20 percent of every sprint is reserved for tech debt. I built a dashboard tracking cyclomatic complexity over time and presented it to leadership as a risk metric. Over 6 months we reduced our critical debt score by 60 percent while maintaining feature velocity.,Technical,63.0,0,1.0,1,15.75,medium,strong
To scale our ML training pipeline I implemented a distributed training strategy using PyTorch DDP across 4 GPUs. I also introduced mixed-precision training and gradient checkpointing which reduced GPU memory by 40 percent and cut training time from 14 hours to 3.5 hours while maintaining model accuracy within 0.2 percent of the baseline.,Technical,9999.0,0,1.0,1,,medium,strong
To scale our ML training pipeline I implemented a distributed training strategy using PyTorch DDP across 4 GPUs. I also introduced mixed-precision training and gradient checkpointing which reduced GPU memory by 40 percent and cut training time from 14 hours to 3.5 hours while maintaining model accuracy within 0.2 percent of the baseline.,Behavioral,53.0,0,1.0,1,13.25,medium,strong
"To handle ambiguous requirements I schedule a clarification meeting within 24 hours, document assumptions in writing, and confirm them with the stakeholder before starting work.",Behavioral,25.0,0,1.0,1,25.0,short,good
"I keep up with industry trends by reading papers on arXiv weekly, following key researchers on Twitter, and implementing one new technique per quarter in a personal project.",Behavioral,28.0,0,0.0,1,28.0,short,good
In my previous role I led a cross-functional team of five engineers. We faced a tight deadline and I organised daily stand-ups to track blockers. We delivered on time and reduced bug count by 20 percent.,Behavioral,36.0,0,1.0,1,12.0,medium,good
"I use Python and SQL daily. For example, I built an ETL pipeline that processed 10 million rows per day using pandas and SQLAlchemy, cutting report generation time from 4 hours to 15 minutes.",Behavioral,34.0,1,1.0,1,17.0,medium,good
I can handle pressure fine. Maybe.,Behavioral,6.0,0,0.0,1,3.0,short,weak
Yes I have experience with that. Not sure.,,8.0,0,,1,4.0,short,weak
I managed a team once. ,Technical,5.0,0,0.0,1,5.0,short,weak
"I prioritise tasks using the Eisenhower matrix. Last quarter I managed three parallel projects by breaking each into weekly milestones, communicating progress to stakeholders every Friday, and escalating blockers immediately.",Behavioral,30.0,0,0.0,1,15.0,medium,good
"I approached this problem by first conducting a root cause analysis using the 5-Whys technique. I discovered the underlying issue was inconsistent data encoding across three upstream systems. I standardised encoding in a shared utility library, wrote unit tests for edge cases, and documented the decision in our ADR system. The fix eliminated that class of bug entirely for the following 18 months.",,63.0,0,1.0,1,15.75,medium,strong
To scale our ML training pipeline I implemented a distributed training strategy using PyTorch DDP across 4 GPUs. I also introduced mixed-precision training and gradient checkpointing which reduced GPU memory by 40 percent and cut training time from 14 hours to 3.5 hours while maintaining model accuracy within 0.2 percent of the baseline.,Behavioral,53.0,0,1.0,1,13.25,medium,strong
Not sure but I would figure it out. I think.,Technical,10.0,0,0.0,1,5.0,short,weak
"I use Python and SQL daily. For example, I built an ETL pipeline that processed 10 million rows per day using pandas and SQLAlchemy, cutting report generation time from 4 hours to 15 minutes.",Technical,34.0,1,1.0,1,17.0,medium,good
Not sure but I would figure it out. I think.,Technical,10.0,0,0.0,1,5.0,short,weak
"I define success by measurable outcomes. In my last project the KPI was reducing customer churn by 10 percent. I built a logistic regression model on 6 months of user behaviour data, achieving 87 percent AUC, which directly contributed to a 12 percent churn reduction.",Behavioral,,0,1.0,1,15.0,medium,good
I would ask my manager for help. I think.,Technical,,0,0.0,1,4.5,short,weak
"I keep up with industry trends by reading papers on arXiv weekly, following key researchers on Twitter, and implementing one new technique per quarter in a personal project.",Technical,28.0,0,0.0,1,28.0,short,good
"Situation: Our recommendation system had a latency of 800ms which was causing a 15 percent drop-off. Task: I was asked to reduce it to under 200ms. Action: I profiled the service, identified that 70 percent of latency came from a redundant database call, cached results with Redis, and vectorised the scoring loop using NumPy. Result: Latency dropped to 140ms, drop-off decreased by 12 percent, and we saved roughly 30 percent in compute costs.",Technical,73.0,0,1.0,1,18.25,medium,strong
"When I encounter conflict in a team I first try to understand the other perspective. In one case a colleague and I disagreed on architecture. I proposed we prototype both approaches over two days and measure performance, which resolved the disagreement objectively.",Behavioral,42.0,0,0.0,1,14.0,medium,good
"I use Python and SQL daily. For example, I built an ETL pipeline that processed 10 million rows per day using pandas and SQLAlchemy, cutting report generation time from 4 hours to 15 minutes.",Behavioral,34.0,1,1.0,1,17.0,medium,good
"I define success by measurable outcomes. In my last project the KPI was reducing customer churn by 10 percent. I built a logistic regression model on 6 months of user behaviour data, achieving 87 percent AUC, which directly contributed to a 12 percent churn reduction.",Behavioral,45.0,0,1.0,1,15.0,medium,good
"To handle ambiguous requirements I schedule a clarification meeting within 24 hours, document assumptions in writing, and confirm them with the stakeholder before starting work.",Technical,25.0,0,1.0,1,,short,good
"I keep up with industry trends by reading papers on arXiv weekly, following key researchers on Twitter, and implementing one new technique per quarter in a personal project.",Technical,28.0,0,0.0,1,28.0,short,good
To scale our ML training pipeline I implemented a distributed training strategy using PyTorch DDP across 4 GPUs. I also introduced mixed-precision training and gradient checkpointing which reduced GPU memory by 40 percent and cut training time from 14 hours to 3.5 hours while maintaining model accuracy within 0.2 percent of the baseline.,Behavioral,53.0,0,1.0,1,,medium,strong
I would try my best. Not sure.,Technical,7.0,0,0.0,1,3.5,short,weak
"I approached this problem by first conducting a root cause analysis using the 5-Whys technique. I discovered the underlying issue was inconsistent data encoding across three upstream systems. I standardised encoding in a shared utility library, wrote unit tests for edge cases, and documented the decision in our ADR system. The fix eliminated that class of bug entirely for the following 18 months.",,63.0,0,1.0,1,15.75,medium,strong
I am a fast learner. ,,5.0,0,0.0,1,5.0,short,weak
I can handle pressure fine. Maybe.,Behavioral,6.0,0,0.0,1,3.0,short,weak
I would try my best. ,Behavioral,5.0,0,0.0,1,5.0,short,weak
"I use Python and SQL daily. For example, I built an ETL pipeline that processed 10 million rows per day using pandas and SQLAlchemy, cutting report generation time from 4 hours to 15 minutes.",Behavioral,34.0,1,1.0,1,17.0,medium,good
"My greatest strength is structured problem-solving. For example I once inherited a codebase with no documentation. I spent the first week mapping dependencies, wrote a diagram, then onboarded two new engineers using it within a month.",,36.0,1,0.0,1,12.0,medium,good
"Situation: Our recommendation system had a latency of 800ms which was causing a 15 percent drop-off. Task: I was asked to reduce it to under 200ms. Action: I profiled the service, identified that 70 percent of latency came from a redundant database call, cached results with Redis, and vectorised the scoring loop using NumPy. Result: Latency dropped to 140ms, drop-off decreased by 12 percent, and we saved roughly 30 percent in compute costs.",Behavioral,73.0,0,1.0,1,18.25,medium,strong
Using the STAR method: in my last role our data pipeline was failing silently every weekend. I designed an alerting system using Airflow sensors and Slack webhooks. I also added a data quality layer using Great Expectations. This caught 98 percent of anomalies before they reached production dashboards and reduced incident response time from 4 hours to 20 minutes.,Technical,,0,1.0,1,14.75,medium,strong
Using the STAR method: in my last role our data pipeline was failing silently every weekend. I designed an alerting system using Airflow sensors and Slack webhooks. I also added a data quality layer using Great Expectations. This caught 98 percent of anomalies before they reached production dashboards and reduced incident response time from 4 hours to 20 minutes.,Behavioral,59.0,0,1.0,1,,medium,strong
"I keep up with industry trends by reading papers on arXiv weekly, following key researchers on Twitter, and implementing one new technique per quarter in a personal project.",Behavioral,28.0,0,0.0,1,28.0,short,good
"I define success by measurable outcomes. In my last project the KPI was reducing customer churn by 10 percent. I built a logistic regression model on 6 months of user behaviour data, achieving 87 percent AUC, which directly contributed to a 12 percent churn reduction.",Technical,45.0,0,1.0,1,15.0,medium,good
In my previous role I led a cross-functional team of five engineers. We faced a tight deadline and I organised daily stand-ups to track blockers. We delivered on time and reduced bug count by 20 percent.,Technical,36.0,0,1.0,1,12.0,medium,good
I worked on several projects. Maybe.,Behavioral,6.0,0,0.0,1,3.0,short,weak
I usually work hard. ,Technical,4.0,0,0.0,1,4.0,short,weak
I don't know much about that. ,Technical,6.0,0,0.0,1,6.0,short,weak
I don't know much about that. I think.,Technical,8.0,0,0.0,1,4.0,short,weak
"Situation: Our recommendation system had a latency of 800ms which was causing a 15 percent drop-off. Task: I was asked to reduce it to under 200ms. Action: I profiled the service, identified that 70 percent of latency came from a redundant database call, cached results with Redis, and vectorised the scoring loop using NumPy. Result: Latency dropped to 140ms, drop-off decreased by 12 percent, and we saved roughly 30 percent in compute costs.",,73.0,0,1.0,1,18.25,medium,strong
Not sure but I would figure it out. ,Technical,8.0,0,0.0,1,8.0,short,weak
I don't know much about that. ,Behavioral,6.0,0,0.0,1,6.0,short,weak
I usually work hard. Maybe.,Technical,5.0,0,0.0,1,2.5,short,weak
Not sure but I would figure it out. I think.,Behavioral,10.0,0,0.0,1,5.0,short,weak
